Organization Name,Organization Type,Sector,Primary Focus,Location,Established,Key Programs/Services,Current Disability Sports Involvement,Potential Contributions,Implementation Areas,Contact,Website,CSR Budget (Approx),Partnership Capacity,Key Contacts,Collaboration Timeline,Scalability,Strategic Fit Score
Tata Trusts,Corporate Foundation,Philanthropy,Social Development & Community Welfare,Multi-state,1989,Education - Healthcare - Social Programs - Community Development,Basic Involvement - Community outreach programs,Large-scale funding - Infrastructure development - Research partnerships - Capacity building,Athlete sponsorship - Facility development - Research partnerships - Community programs,contact@tatatrusts.org,https://www.tatatrusts.org,High (₹100+ Cr),Very High,Senior Program Officers - CSR Heads,12-18 months,Very High,Very High
Reliance Foundation,Corporate Foundation,Philanthropy,Sports Development - Social Inclusion - Community Programs,Multi-national,1991,Rural Development - Sports Programs - Education - Healthcare,Active - Youth sports programs - Community initiatives,Sports infrastructure - Financial support - Corporate partnerships - Brand advocacy,Youth talent identification - Sports coaching centers - Community programs - Research initiatives,partnerships@reliancefoundation.org,https://reliancefoundation.org,High (₹50-100 Cr),High,Sports Program Directors - CSR Managers,9-15 months,Very High,Very High
HCL Foundation,Corporate CSR,Technology & Social Development,Disability Sports Inclusion - Para-athlete Support,National,2009,Sports for Change Initiative - Para-athlete equipment provision - Scholarships - Technology programs,Active - Para-athlete equipment sponsorship - Scholarship programs - International competition support,Equipment sponsorship - Training programs - Scholarship funding - Technology solutions - Corporate partnerships,Equipment donation - Athlete scholarships - Training facility development - Technology integration,contact@hclfoundation.org,https://hclfoundation.org,Medium (₹20-50 Cr),High,Disability Programs Lead - CSR Coordinator,6-12 months,High,Very High
Infosys Foundation,Corporate Foundation,Technology & Social Development,Education - Community Development - Accessibility,Multi-state,1996,Education Programs - Technology for Disabled - Community Initiatives - Digital Accessibility,Emerging - Accessibility technology programs - IT skills training,Technology solutions - Digital accessibility - Training programs - Infrastructure development,Technology accessibility programs - Digital skills training - Infrastructure development - Partnership ecosystem,csr@infosys.com,https://www.infosys.org,High (₹50-75 Cr),Medium-High,Accessibility Programs Director - CSR Manager,12-18 months,High,High
Microsoft India Foundation,Corporate Foundation,Technology & Social Development,Digital Inclusion - Accessibility - Community Empowerment,National,2001,Digital Skills Training - Accessibility Solutions - Community Programs - Youth Development,Active - Digital accessibility initiatives - Technology training programs - Inclusive design focus,Technology platforms - Digital solutions - Training programs - Research partnerships - Scaling support,Digital accessibility training - Technology infrastructure - Inclusive app development - Community digital centers,csr@microsoft.com,https://www.microsoft.com/en-in/csr,High (₹30-50 Cr),High,Accessibility & Inclusion Lead - CSR Manager,9-15 months,Very High,Very High
Google.org India,Corporate Foundation,Technology & Social Impact,Digital Equity - Community Development - Innovation,National,2004,Digital Literacy Programs - Community Networks - Innovation Challenges - Accessibility Initiatives,Emerging - Digital inclusion programs - Technology for disabled - Youth digital skills,Tech platforms - Grant funding - Research partnerships - Digital solutions - Innovation support,Inclusive app development - Digital literacy programs - Virtual coaching platforms - Community digital network,partnerships@google.org,https://www.google.org,Medium-High (₹15-30 Cr),Medium,Partnerships Manager - Community Programs Lead,12-18 months,Very High,High
Decathlon Foundation,Sports Company CSR,Sports & Retail,Sports Accessibility - Community Sports Development - Inclusion,Multi-state,2012,Adaptive Sports Equipment - Community Sports Programs - Inclusive Recreation - Youth Engagement,Active - Adaptive sports equipment provision - Community sports programs - Inclusion initiatives,Equipment donation - Retail partnerships - Community events - Sponsorship - Infrastructure support,Equipment provision - Community sports events - Adaptive product development - Retail point advocacy,partnerships@decathlon.in,https://www.decathlon.in,Medium (₹10-25 Cr),Very High,Corporate Partnerships Manager - CSR Head,6-12 months,Very High,Very High
Ashok Leyland Foundation,Industrial CSR,Manufacturing - Social Development,Rural Development - Community Welfare - Skills Training,Multi-state,2005,Vocational Training - Community Programs - Rural Development - Infrastructure,Basic Involvement - Community outreach - Sports recreation programs,Vocational training integration - Infrastructure development - Community partnerships - Sponsorship,Skill development for disabled athletes - Employment pathways - Community sports programs,csr@ashokleyland.com,https://www.ashokleyland.com,Low-Medium (₹5-15 Cr),Medium,CSR Manager - Community Programs Lead,12-24 months,Medium,Medium
Wipro Foundation,Corporate Foundation,Technology - Social Development,Education - Livelihood - Community Wellness,Multi-state,2000,Education Programs - Skills Training - Healthcare - Sports Initiatives,Basic Involvement - Community recreation - Youth wellness programs,Training partnerships - Infrastructure support - Scholarship funding - Community engagement,Skills training programs - Sports recreation facilities - Youth mentorship - Community centers,csr@wipro.com,https://www.wiprofoundation.org,High (₹40-60 Cr),High,Education Programs Lead - CSR Manager,12-18 months,High,High
TVS Foundation,Industrial CSR,Manufacturing - Social Development,Community Development - Education - Sports - Environment,Multi-state,1998,Education - Skills Training - Community Sports - Environmental Programs,Active - Sports development programs - Community recreation - Youth engagement,Sports infrastructure - Training programs - Equipment support - Community partnerships,Community sports centers - Youth coaching programs - Equipment provision - Sports events,csr@tvs.in,https://www.tvsfoundation.org,Medium (₹10-20 Cr),Medium-High,Sports Programs Manager - CSR Coordinator,12-15 months,High,High
Asian Paints Foundation,Corporate Foundation,Manufacturing CSR,Social Development - Community Programs - Health & Wellness,Multi-state,2002,Community Development - Health Initiatives - Youth Programs - Social Welfare,Emerging - Community wellness programs - Sports recreation,Community partnerships - Health initiatives - Infrastructure support - Youth engagement,Community sports centers - Health & wellness programs - Community recreational facilities,csr@asianpaints.com,https://www.asianpaintscsr.org,Low-Medium (₹8-15 Cr),Medium,CSR Manager - Community Programs Lead,12-18 months,Medium,Medium
ICICI Prudential Foundation,Financial Services CSR,Finance - Social Development,Community Development - Health - Education - Social Welfare,Multi-state,1996,Education - Healthcare - Financial Literacy - Community Programs,Basic Involvement - Community wellness programs - Youth development,Financial support - Community partnerships - Technology platforms - Scholarship programs,Community sports programs - Athlete scholarships - Community wellness initiatives,csr@iciciprudential.com,https://www.iciciprudential.com,Medium (₹15-30 Cr),Medium,CSR Manager - Partnerships Lead,12-18 months,Medium-High,Medium-High
Sports Authority of India (SAI),Government - Sports Body,Government - Sports Development,Elite Athlete Development - Sports Infrastructure - Olympic/Paralympic Preparation,National,1977,Athlete Training - Sports Infrastructure - Coaching Programs - International Competition Support - National Championships,High - Para-athlete coaching - Paralympic training centers - National competitions - Equipment provision,Training infrastructure - Coaching expertise - International competition access - Funding support - Policy influence,Para-athlete training programs - Infrastructure partnerships - Coaching program expansion - International competition participation,contact@sai.gov.in,https://sai.gov.in,Very High (Government Budget),Very High,SAI Director - Para Sports Wing Head,6-12 months,Very High,Very High
Paralympic Committee of India (PCI),Government - Sports Body,Sports Governance,Paralympic Movement Development - Para-athlete Advocacy - International Representation,National,1989,National Team Selection - International Competitions - Athlete Support - Policy Development - Event Organization,Very High - Direct involvement in all Paralympic activities - Athlete funding - International competition coordination,Direct athlete support - Infrastructure partnerships - Policy advocacy - International connections - Research access,Para-athlete development - Competition participation - International partnerships - Policy development,contact@paralympic.org.in,https://paralympic.org.in,High (Government + International),Very High,PCI President - Athletes Committee Chair,3-9 months,Very High,Very High
All India Sports Authority (AISA),Government Sports Federation,Government - Sports Development,National Sports Development - Athlete Training - Infrastructure,Multi-national,1975,Sports Development - Athlete Training - Sports Infrastructure - National Championships,High - Para-athlete programs - Adaptive coaching - National competitions,Athlete support - Infrastructure access - International coaching - Competition organization - Policy input,Para-athlete training - Infrastructure development - Coaching program expansion - Competition participation,contact@aisa.gov.in,https://www.aisa.org,Very High (Government),Very High,AISA Director - Disability Sports Wing,6-12 months,Very High,Very High
Badminton Association of India (BAI),National Sports Federation,Sports Association,Para-Badminton Development - National Competitions - International Representation,National,1934,National Championships - State Associations - International Competitions - Coaching Programs - Athlete Development,High - Para-badminton programs - National championships - International representation,Competition access - Coaching expertise - International partnerships - Equipment support - Player development,Para-badminton program expansion - Tournament organization - Coaching development - International competition participation,contact@badmintonassociation.in,https://badmintonassocieationofindia.org,Medium (₹5-15 Cr),High,Para-Badminton Chair - Director,6-12 months,High,Very High
Athletics Federation of India (AFI),National Sports Federation,Sports Association,Para-Athletics Development - National Competitions - Olympic/Paralympic Preparation,National,1946,National Championships - State Associations - International Competitions - Athlete Development - Coaching,Very High - Direct involvement in para-athletics - National championships - International team selection,Athlete support - Competition access - International coaching - Training infrastructure - Policy development,Para-athletics program development - Coaching expansion - Infrastructure partnerships - International competition support,contact@athleticsfedindia.org,https://www.athleticsfedindia.org,High (₹10-25 Cr),Very High,AFI President - Para-Athletics Director,6-12 months,Very High,Very High
